Date,Price,Open,High,Low,Vol.,Change %
2026-06-02,745.59,742.58,745.85,739.3,14.73M,0.38%
2026-06-01,742.74,737.04,745.65,735.99,33.89M,0.60%
2026-05-29,738.31,737.84,741.63,735.25,37.54M,0.37%
2026-05-28,735.6,729.73,736.6,726.41,32.84M,0.84%
2026-05-27,729.45,732.96,733.32,725.44,35.15M,-0.11%
2026-05-26,730.28,725.96,731.17,724.16,34.25M,1.78%
2026-05-22,717.54,718.07,722.12,715.95,33.12M,0.42%
2026-05-21,714.51,708.99,717.12,706.77,36.42M,0.19%
2026-05-20,713.15,705.29,713.15,703.79,36.78M,1.66%
2026-05-19,701.53,699.81,706.49,695.25,46.83M,-0.62%
2026-05-18,705.88,711.54,712.07,698.85,49.83M,-0.43%
2026-05-15,708.93,710.14,715.13,705.55,51.79M,-1.51%
2026-05-14,719.79,714.62,722.03,714.22,33.33M,0.71%
2026-05-13,714.71,709.96,716.65,704.83,40.01M,1.06%
2026-05-12,707.24,708.22,710.18,696.64,45.87M,-0.85%
2026-05-11,713.29,710.36,714.59,708.91,36.02M,0.29%
2026-05-08,711.23,699.92,711.23,699.5,44.32M,2.34%
2026-05-07,694.94,696.58,701.24,691.77,43.78M,-0.12%
2026-05-06,695.77,687.78,695.93,686.48,38.78M,2.08%
2026-05-05,681.61,677.96,682.77,677.51,37.10M,1.30%
2026-05-04,672.88,674.66,676.73,668.9,34.54M,-0.19%
2026-05-01,674.15,669.16,675.97,668.8,39.17M,0.96%
2026-04-30,667.74,665.35,668.9,657.56,40.62M,0.93%
2026-04-29,661.57,658.63,661.72,656.59,31.72M,0.61%
2026-04-28,657.55,657.41,659.64,653.81,34.15M,-1.01%
2026-04-27,664.23,663.4,664.43,660.69,32.72M,0.05%
2026-04-24,663.88,658.51,664.51,656.53,45.56M,1.91%
2026-04-23,651.42,653.55,656.92,645.52,40.10M,-0.56%
2026-04-22,655.11,650.15,655.33,648.52,37.37M,1.67%
2026-04-21,644.33,648.41,650.2,642.21,39.58M,-0.38%
2026-04-20,646.79,648.04,648.76,642.52,37.14M,-0.32%
2026-04-17,648.85,645.59,650.0,644.07,53.49M,1.31%
2026-04-16,640.47,639.21,642.18,635.26,42.32M,0.48%
2026-04-15,637.4,629.08,637.83,628.2,50.10M,1.40%
2026-04-14,628.6,620.22,628.6,620.1,49.92M,1.82%
2026-04-13,617.39,609.48,626.74,608.11,32.97M,1.03%
2026-04-10,611.07,611.84,613.67,609.58,34.04M,0.14%
2026-04-09,610.19,605.93,610.5,603.03,37.84M,0.68%
2026-04-08,606.09,608.71,609.9,602.12,63.09M,2.97%
2026-04-07,588.59,585.64,588.98,578.4,49.95M,0.02%
2026-04-06,588.5,586.23,590.61,584.69,35.11M,0.60%
